,Game,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestofWorld,Global
158,Disney Infinity 3.0,2015,Action,Disney Interactive Studios,0.31,0.4,0.0,0.14,0.85
159,Farming Simulator 17,2016,Simulation,Focus Home Interactive,0.19,0.52,0.01,0.13,0.85
160,The Crew 2,2018,Racing,Ubisoft,0.22,0.42,0.05,0.12,0.82
161,Pro Evolution Soccer 2016,2015,Sports,Konami Digital Entertainment,0.14,0.43,0.14,0.1,0.82
162,ARK: Survival Evolved,2017,Action,Studio Wildcard,0.28,0.29,0.14,0.11,0.81
163,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015,Action,Square Enix,0.21,0.14,0.39,0.07,0.81
164,Assassin's Creed The Ezio Collection,2016,Action,Ubisoft,0.14,0.52,0.02,0.12,0.79
165,Final Fantasy XIV: A Realm Reborn,2014,MMO,Square Enix,0.35,0.23,0.08,0.12,0.79
166,Destiny: The Collection,2016,Shooter,Activision,0.24,0.4,0.02,0.12,0.78
167,F1 2016 (Codemasters),2016,Racing,Codemasters,0.07,0.56,0.03,0.11,0.78
168,Hitman (2016),2017,Action,Square Enix,0.24,0.36,0.06,0.11,0.78
169,Pro Evolution Soccer 2015,2014,Sports,Konami Digital Entertainment,0.09,0.45,0.12,0.1,0.76
170,LEGO City Undercover,2017,Platform,Warner Bros. Interactive Entertainment,0.17,0.46,0.01,0.12,0.75
171,Pro Evolution Soccer 2018,2017,Sports,Konami Digital Entertainment,0.12,0.36,0.19,0.09,0.75
172,Disney Infinity 2.0: Marvel Super Heroes,2014,Action-Adventure,Disney Interactive Studios,0.37,0.25,0.0,0.13,0.75
173,Pro Evolution Soccer 2017,2016,Sports,Konami Digital Entertainment,0.08,0.41,0.18,0.09,0.75
174,Sniper Elite 3,2014,Shooter,505 Games,0.25,0.37,0.0,0.12,0.74
175,MLB 14 The Show,2014,Sports,Sony Computer Entertainment,0.59,0.0,0.0,0.14,0.73
176,WipEout Omega Collection,2017,Racing,Sony Interactive Entertainment,0.12,0.49,0.0,0.11,0.72
177,Deus Ex: Mankind Divided,2016,Role-Playing,Square Enix,0.25,0.34,0.01,0.12,0.72
178,The LEGO Movie Videogame,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.26,0.32,0.01,0.11,0.71
179,Marvel vs. Capcom: Infinite,2017,Fighting,Capcom,0.36,0.19,0.04,0.11,0.7
180,Dark Souls II,2015,Role-Playing,Namco Bandai Games,0.27,0.23,0.09,0.1,0.69
181,Yakuza 6,2016,Adventure,Sega,0.16,0.1,0.38,0.05,0.69
182,F1 2015,2015,Racing,Codemasters,0.1,0.45,0.04,0.1,0.68
183,METRO 2033,2014,Shooter,Deep Silver,0.22,0.31,0.05,0.1,0.68
184,Rocksmith 2014,2014,Music,Ubisoft,0.38,0.17,0.0,0.12,0.67
185,NHL 16,2015,Sports,EA Sports,0.38,0.16,0.0,0.12,0.66
186,Plants vs Zombies: Garden Warfare,2014,Shooter,Electronic Arts,0.24,0.3,0.01,0.11,0.66
187,Tales of Berseria,2016,Role-Playing,Namco Bandai Games,0.22,0.1,0.26,0.07,0.65
188,Yakuza Zero: The Place of Oath,2015,Adventure,Sega,0.22,0.16,0.19,0.08,0.65
189,One Piece: Burning Blood,2016,Fighting,Namco Bandai Games,0.21,0.26,0.09,0.09,0.65
190,Batman: Return to Arkham,2016,Action,Warner Bros. Interactive Entertainment,0.15,0.39,0.01,0.1,0.64
191,Plants vs. Zombies: Garden Warfare 2,2016,Shooter,Electronic Arts,0.22,0.31,0.0,0.1,0.63
192,LEGO The Hobbit,2014,Action-Adventure,Warner Bros. Interactive Entertainment,0.14,0.39,0.0,0.1,0.62
193,World of Final Fantasy,2016,Role-Playing,Square Enix,0.24,0.21,0.09,0.09,0.62
194,F1 2017,2017,Racing,Koch Media,0.04,0.47,0.02,0.09,0.62
195,NHL 15,2014,Sports,EA Sports,0.32,0.19,0.0,0.11,0.62
196,Knowledge is Power,2017,Party,Sony Interactive Entertainment,0.05,0.47,0.0,0.09,0.61
197,L.A. Noire,2017,Adventure,Rockstar Games,0.18,0.32,0.0,0.1,0.6
198,Hidden Agenda,2017,Adventure,Sony Interactive Entertainment,0.08,0.42,0.0,0.09,0.59
199,Call of Duty: Modern Warfare Remastered,2017,Shooter,Activision,0.17,0.3,0.03,0.09,0.58
200,Dragon Quest Builders: Revive Alefgard,2016,Role-Playing,Square Enix,0.12,0.17,0.24,0.06,0.58
201,The Lego Ninjago Movie Videogame,2017,Action,Warner Bros. Interactive Entertainment,0.16,0.32,0.0,0.09,0.57
202,Resident Evil: Revelations 2,2015,Action,Capcom,0.14,0.25,0.11,0.07,0.57
203,Rock Band 4,2015,Music,Harmonix Music Systems,0.41,0.06,0.0,0.1,0.57
204,NHL 18,2017,Sports,EA Sports,0.31,0.16,0.0,0.1,0.57
205,Everybody's Golf,2017,Sports,Sony Interactive Entertainment,0.12,0.22,0.17,0.06,0.56
206,The Amazing Spider-Man 2 (2014),2014,Action-Adventure,Activision,0.2,0.26,0.02,0.09,0.56
207,DOOM VFR,2017,Shooter,Bethesda Softworks,0.22,0.25,0.0,0.09,0.56
208,Sonic Forces,2017,Platform,Sega,0.15,0.31,0.01,0.09,0.56
209,Kingdom Come: Deliverance,2018,Role-Playing,Deep Silver,0.18,0.28,0.0,0.09,0.56
210,Lords of the Fallen,2014,Role-Playing,Square Enix,0.2,0.24,0.02,0.09,0.55
211,Sniper Elite 4,2017,Shooter,Rebellion Developments,0.21,0.25,0.0,0.09,0.55
212,Rory McIlroy PGA Tour,2015,Sports,Electronic Arts,0.19,0.27,0.0,0.09,0.55
213,Project CARS 2,2017,Racing,Namco Bandai Games,0.1,0.35,0.02,0.08,0.55
214,Skylanders: Trap Team,2014,Platform,Activision,0.25,0.18,0.0,0.09,0.52
215,NHL 17,2016,Sports,EA Sports,0.32,0.11,0.0,0.09,0.52
216,One Piece: Pirate Warriors 3,2015,Action,Namco Bandai Games,0.11,0.22,0.11,0.06,0.52
217,DiRT Rally,2016,Racing,Codemasters,0.13,0.3,0.0,0.08,0.51
218,Homefront: The Revolution,2016,Shooter,Deep Silver,0.11,0.29,0.04,0.07,0.5
219,Attack on Titan (KOEI),2016,Action,Tecmo Koei,0.08,0.24,0.12,0.06,0.5
